run_id,timestamp,question_index,question,predicted_score,predicted_threads,baseline_concurrent,baseline_success,baseline_http_status,baseline_api_code,baseline_latency_ms,baseline_retries_used,baseline_agent_success_ratio,baseline_error,predict_concurrent,predict_success,predict_http_status,predict_api_code,predict_latency_ms,predict_retries_used,predict_agent_success_ratio,predict_error,success_delta,latency_delta_ms,predicted_threads_is_singleton_run,comparison_round_validity,comparison_round_invalid_reason
exp_20260405_004506_be3a55d9,2026-04-05T00:45:56,1,"Show the bottom 5 countries with the smallest absolute difference between GNPOld and GNP, where both are non-null and GNPOld < GNP.",1.0,2,1,1,200,200,7345.984,0,1.0,,2,1,200,200,8506.693,0,1.0,,0,1160.709,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:46:48,2,"Show the bottom 4 countries ranked by (IndepYear × LifeExpectancy), excluding null IndepYear.",1.0,2,1,1,200,200,6630.67,0,1.0,,2,1,200,200,8790.863,0,1.0,,0,2160.193,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:47:22,3,Which 5 languages have the highest median percentage across all countries where spoken (excluding nulls)?,1.0,2,1,1,200,200,4729.707,0,1.0,,2,1,200,200,7516.597,0,1.0,,0,2786.89,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:48:40,4,Which 4 languages have the most uniform distribution (lowest range: max % − min %) across countries where spoken?,1.0,2,1,1,200,200,6972.959,0,1.0,,2,1,200,200,10407.58,0,1.0,,0,3434.621,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:51:23,5,Show the bottom 3 countries with the highest GNP per capita but no recorded IndepYear.,1.0,2,1,1,200,200,12306.527,0,1.0,,2,1,200,200,23318.419,0,1.0,,0,11011.892,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:52:24,6,"What are the bottom 4 countries ranked by (SurfaceArea + Population) / GNP, excluding zero/null GNP?",1.0,2,1,1,200,200,9704.572,0,1.0,,2,1,200,200,8456.781,0,1.0,,0,-1247.791,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:53:02,7,What are the bottom 5 countries with the smallest surface area and no recorded independence year?,1.0,2,1,0,500,,5682.922,,,HTTPError: HTTP Error 500: Internal Server Error,2,0,500,,6981.501,,,HTTPError: HTTP Error 500: Internal Server Error,0,1298.579,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:53:49,8,Which 5 countries have the greatest absolute difference between LifeExpectancy and 70?,1.0,2,1,1,200,200,6787.714,0,1.0,,2,1,200,200,7315.769,0,1.0,,0,528.055,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:54:30,9,"What are the bottom 7 countries by (GNP + GNPOld) / 2, excluding nulls in either field?",1.0,2,1,1,200,200,5971.932,0,1.0,,2,1,200,200,6487.36,0,1.0,,0,515.428,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:55:24,10,What are the bottom 4 cities by population in countries whose continent is “North America” and region is “Caribbean”?,1.0,2,1,1,200,200,8746.535,0,1.0,,2,1,200,200,9318.942,0,1.0,,0,572.407,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:56:08,11,"Which 3 countries have the highest combined percentage of Dutch and English speakers (sum of percentages where Language ∈ {‘Dutch’,‘English’})?",1.0,2,1,1,200,200,6842.63,0,1.0,,2,1,200,200,7917.513,0,1.0,,0,1074.882,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:57:19,12,"Show the bottom 7 countries ranked by length of LocalName minus length of Name (absolute value), for non-null values.",1.0,2,1,1,200,200,7776.627,0,1.0,,2,1,200,200,7628.746,0,1.0,,0,-147.882,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:58:05,13,What are the 6 most populous cities in Asia?,1.0,2,1,1,200,200,7271.495,0,1.0,,2,1,200,200,7437.504,0,1.0,,0,166.01,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:58:51,14,What are the top 5 languages spoken in countries where Dutch is an official language?,1.0,2,1,1,200,200,7504.701,0,1.0,,2,1,200,200,8035.801,0,1.0,,0,531.1,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T00:59:33,15,Show the top 8 languages with the highest average percentage among official languages only.,1.0,2,1,1,200,200,6607.524,0,1.0,,2,1,200,200,7344.049,0,1.0,,0,736.525,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:00:13,16,Which 5 countries have the greatest absolute difference between IndepYear and the average IndepYear across all countries with non-null IndepYear?,1.0,2,1,1,200,200,6297.54,0,1.0,,2,1,200,200,6134.454,0,1.0,,0,-163.086,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:01:09,17,What are the top 4 countries with the highest number of cities where city name length equals country name length?,1.0,2,1,1,200,200,8388.417,0,1.0,,2,1,200,200,9449.24,0,1.0,,0,1060.823,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:05:10,18,Which 5 countries have the greatest difference between their longest city name length and the length of their LocalName?,1.0,2,1,0,504,504,51266.3,3,0.0,HTTPError: HTTP Error 504: Gateway Timeout,2,1,200,200,26770.139,1,1.0,,1,-24496.161,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:06:04,19,List the bottom 5 countries by GNP per capita (GNP/Population).,1.0,2,1,1,200,200,8734.507,0,1.0,,2,1,200,200,8902.305,0,1.0,,0,167.798,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:06:47,20,List the 5 countries with the highest percentage of English speakers among official languages.,1.0,2,1,1,200,200,6700.563,0,1.0,,2,1,200,200,8208.049,0,1.0,,0,1507.486,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:07:26,21,List the bottom 4 countries with the lowest life expectancy.,1.0,2,1,1,200,200,6354.338,0,1.0,,2,1,200,200,5618.871,0,1.0,,0,-735.467,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:08:20,22,List the top 8 countries with the highest number of cities where city name length is greater than country name length.,1.0,2,1,1,200,200,7808.177,0,1.0,,2,1,200,200,8822.647,0,1.0,,0,1014.47,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:09:35,23,Which 6 countries have the most cities listed in the city table?,1.0,2,1,1,200,200,7430.804,0,1.0,,2,1,200,200,8495.353,0,1.0,,0,1064.549,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:10:26,24,"Which 7 countries have the largest gap between GNP and LifeExpectancy (GNP − LifeExpectancy), treating LifeExpectancy as numeric?",1.0,2,1,1,200,200,7749.357,0,1.0,,2,1,200,200,8467.008,0,1.0,,0,717.651,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:11:59,25,List the top 4 cities located in districts that match a country’s Code2 exactly.,1.0,2,1,1,200,200,13144.272,0,1.0,,2,1,200,200,34009.973,0,1.0,,0,20865.701,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:12:49,26,What are the top 8 countries with the highest percentage of official languages?,1.0,2,1,1,200,200,8010.2,0,1.0,,2,1,200,200,8596.168,0,1.0,,0,585.967,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:13:55,27,Which 4 countries have the highest ratio of (Population × GNP) / SurfaceArea?,1.0,2,1,1,200,200,11218.823,0,1.0,,2,1,200,200,9370.65,0,1.0,,0,-1848.173,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:15:12,28,List the top 3 countries with the most cities where city name contains a substring matching any country’s Code2.,1.0,2,1,1,200,200,12029.382,0,1.0,,2,1,200,200,12233.36,0,1.0,,0,203.979,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:16:08,29,List the bottom 3 countries by surface area.,1.0,2,1,1,200,200,9939.33,0,1.0,,2,1,200,200,9895.149,0,1.0,,0,-44.18,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:16:48,30,Show the top 7 languages spoken in African countries.,1.0,2,1,1,200,200,6137.438,0,1.0,,2,1,200,200,6754.524,0,1.0,,0,617.086,1,有效对比轮,
exp_20260405_004506_be3a55d9,2026-04-05T01:20:21,31,What are the top 5 countries with the highest number of official languages spoken by at least 10% of the population?,1.0,2,1,0,504,504,34893.919,3,0.0,HTTPError: HTTP Error 504: Gateway Timeout,2,1,200,200,43712.16,0,1.0,,1,8818.241,1,有效对比轮,
